student1,student2,student3,student4,student5,student6,student7,student8,student9,student10,student11,student12,student13,student14,student15,student16,student17,student18,student19,student20
1.0,1.5,1.75,0.5,2.5,0.75,3.25,2.0,0.25,0.75,2.0,4.75,0.75,0.0,1.0,1.5,1.0,1.0,0.75,1.5
0.0,0.0,0.5,0.25,0.25,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.5
0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.75,0.25,0.0,0.25,0.5,0.0,0.5,0.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
0.25,0.25,0.5,0.5,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.75
0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.5,0.5,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.5,0.25
0.25,1.5,0.5,0.75,0.25,0.25,1.5,1.0,0.0,0.5,0.5,0.5,0.0,0.25,1.25,0.75,1.0,0.75,0.75,0.5
0.25,0.5,0.5,0.0,0.5,0.25,0.25,0.25,0.0,0.25,0.5,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.25
0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.0
0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0
0.0,0.25,0.0,0.25,0.25,0.0,0.5,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0
0.0,0.5,0.5,0.0,0.25,0.25,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,0.25
4.0,0.5,0.25,1.25,3.0,0.0,2.0,1.0,0.75,0.75,1.5,1.75,1.25,1.0,1.0,0.75,1.0,1.5,1.5,1.0
0.25,0.25,0.0,0.5,0.5,1.0,0.0,0.5,0.25,0.25,0.0,0.25,0.0,0.5,0.25,0.75,0.0,1.0,0.0,0.25
0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
0.5,0.75,0.0,0.25,1.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.5,0.25,0.5,0.25,0.5,0.0
0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.0,0.25,0.0,0.5,0.0
0.25,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.75,0.25,0.5,0.25,0.5,0.5,0.0,0.5,0.25,0.0,1.0,0.25
12.5,0.0,0.0,0.25,0.25,0.5,2.5,1.5,0.0,0.5,2.25,2.25,2.25,2.25,2.25,0.5,1.5,2.0,3.25,0.0
0.5,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.0,0.5,0.0,0.25,0.25,0.5,0.25,0.25,0.75,0.0,0.0,0.25
0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
0.0,0.5,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0
6.5,0.25,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,2.5,7.5,1.25,0.25,1.75,0.25,0.0,2.75,2.25,0.25
0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,1.25,0.25,0.0,0.5,0.25,0.25,0.0,0.0,0.25
1.5,0.0,0.0,0.0,1.0,0.0,0.25,0.75,0.0,0.25,0.5,1.5,0.0,0.75,0.0,0.0,0.25,0.0,0.5,0.25
0.5,0.0,1.0,0.25,0.25,0.25,1.25,0.5,0.25,0.5,1.75,1.25,0.0,0.75,0.25,0.5,0.0,0.5,1.25,0.0
1.5,2.5,4.0,3.5,1.0,2.5,2.25,3.0,3.0,2.75,1.5,2.75,2.25,2.25,2.25,2.75,2.0,1.75,2.0,3.75
0.25,0.5,1.75,0.5,0.5,1.5,0.0,1.25,2.25,1.0,0.25,1.25,0.5,0.0,1.5,0.25,0.25,1.0,1.0,1.5
0.0,0.75,0.5,0.5,0.25,0.0,1.25,1.0,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0
0.0,0.75,0.0,0.5,0.0,1.0,0.25,0.75,0.5,0.5,0.25,0.5,1.0,0.75,0.5,0.25,0.5,0.5,0.25,0.75
0.25,1.0,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.5,1.5,0.75,0.0,0.0,1.0,0.25,0.25,1.25,1.0,0.75
0.0,0.25,0.75,0.25,0.0,0.5,0.0,0.5,0.25,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.25,0.5,0.5,0.5
0.0,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.25,0.25,0.5,0.75,0.0,0.0,0.75,0.75
0.5,0.0,0.0,1.0,0.75,0.75,0.0,0.75,1.25,0.75,0.75,0.25,1.0,1.0,0.25,0.75,0.75,0.0,0.25,1.25
1.0,1.0,1.5,1.25,1.5,1.75,1.25,0.25,1.5,0.75,1.25,0.5,0.5,1.0,0.5,1.25,1.25,0.5,1.0,0.25
0.5,0.5,0.75,0.25,0.0,0.5,0.0,0.25,0.25,0.0,0.25,0.25,1.0,0.25,0.5,0.5,0.0,0.75,1.0,0.5
0.0,0.5,0.25,0.5,0.0,1.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.75,0.5,0.75,0.0,0.25,0.25
0.0,0.5,0.25,0.75,0.75,0.5,0.25,0.25,0.75,0.75,0.75,0.0,0.25,0.25,0.25,0.25,0.0,1.0,0.25,0.5
0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5
0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.75,0.0,0.25,0.25,0.0,1.0,0.0
0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.75,0.5,0.0,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.0
0.25,0.5,0.75,0.5,0.5,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.75,0.5,0.25,1.0,0.75,0.5,0.0
0.75,1.0,2.0,0.75,0.0,0.75,1.5,0.25,0.5,0.25,0.5,0.25,1.25,1.0,1.25,0.5,0.75,0.75,0.5,0.25
0.25,0.5,0.0,0.5,0.25,0.5,0.0,0.25,0.5,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.0
0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.0,0.5,0.25,0.25,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0
0.0,0.25,1.0,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.0,1.25,0.75,0.25,0.0,0.5,0.0,1.25,0.25
0.0,0.5,0.25,0.0,0.5,0.0,0.25,0.0,0.75,0.25,0.25,0.0,0.25,0.5,1.25,0.0,0.25,0.75,0.0,0.25
0.0,0.5,0.5,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.75,0.0,0.25,0.25,0.25,0.25,0.25,0.0,1.0,0.25
0.0,0.25,0.0,1.25,0.75,0.25,0.25,0.25,0.5,0.25,0.0,0.0,0.5,1.0,0.25,0.75,0.0,0.75,1.0,0.0
0.5,0.5,0.0,0.25,0.25,0.0,0.75,0.0,0.0,0.75,0.5,0.0,0.75,0.25,0.25,0.25,0.0,0.0,0.75,0.25
0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.5,0.25,0.25,0.75,0.0
0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25
0.0,0.25,1.0,0.5,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0
0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0
0.0,0.25,0.25,0.5,1.25,0.25,0.25,0.0,0.5,1.0,0.25,0.5,0.0,0.75,0.0,0.0,0.5,0.25,0.5,0.5
2.0,0.5,0.25,0.25,1.5,0.75,0.5,0.25,0.75,0.0,0.5,0.0,0.5,0.75,0.5,1.25,1.25,1.0,1.25,0.25
0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.75,0.5,0.75,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
0.0,0.0,0.5,0.0,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.25,0.5
0.25,0.75,0.0,0.25,0.5,0.25,0.25,0.75,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.25,0.25
0.0,0.5,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.5,0.5,0.0
0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.25
0.0,0.25,0.25,0.25,1.0,0.75,0.25,0.25,1.25,0.25,0.75,0.5,0.5,0.25,0.25,0.25,0.25,0.75,0.5,0.5
1.75,0.25,0.5,0.5,0.5,0.0,0.75,0.5,1.0,0.5,0.75,0.0,1.0,0.5,1.0,0.5,2.0,0.0,0.25,1.0
0.25,1.25,0.5,0.75,0.25,1.25,0.0,0.5,0.25,0.25,0.5,0.0,0.0,0.75,0.0,0.5,0.25,0.5,0.25,0.75
0.0,0.0,0.25,0.5,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0
0.0,1.0,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.75,0.75,0.0,0.75,0.5,0.75,0.5,0.0,0.5,0.25,0.25
0.0,0.5,0.0,0.25,0.25,0.25,0.5,0.25,0.0,0.0,0.5,0.5,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.75
0.0,0.0,0.5,0.5,0.5,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25
0.0,0.25,0.5,1.0,0.25,0.25,0.25,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.75,0.5
0.5,1.0,0.5,1.25,1.0,0.0,0.5,0.5,0.5,2.0,1.5,0.25,1.0,0.25,1.0,1.25,0.5,0.75,1.5,0.0
8.75,1.75,1.0,0.25,1.0,1.25,1.5,0.5,0.0,1.25,0.25,0.75,2.0,1.5,1.25,1.5,3.25,0.25,0.0,0.5
0.25,0.25,0.75,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.25,0.25,0.75,0.5,0.5,0.25,0.25,0.25,0.75,0.25
0.25,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.5,0.0,0.0
0.25,0.0,0.75,0.0,0.25,0.5,0.0,0.25,0.5,0.25,0.25,0.5,0.75,0.75,0.25,0.0,0.25,0.25,0.0,0.5
1.25,0.75,0.75,0.0,0.25,0.25,1.25,0.0,0.25,0.25,0.25,0.0,0.5,1.0,0.75,0.25,2.5,1.0,0.75,0.5
0.75,0.25,0.0,0.25,0.75,1.25,0.25,0.0,0.0,0.5,1.0,0.0,1.25,0.25,0.5,0.0,0.0,0.0,0.25,0.0
0.5,0.25,0.25,0.25,0.5,0.5,0.75,0.0,0.0,0.0,0.5,0.25,0.0,0.75,0.75,0.5,0.75,1.0,0.5,0.25
1.25,1.0,2.0,0.5,1.0,1.75,2.5,1.25,0.25,0.25,1.0,1.25,1.0,0.75,1.0,1.0,1.5,1.0,0.75,0.75
20.5,1.0,0.75,0.0,1.25,0.75,1.5,1.0,0.0,1.25,1.25,0.25,8.25,8.0,0.75,1.0,3.5,1.0,2.25,0.5
0.5,0.5,0.25,0.0,1.25,1.0,1.25,0.5,0.5,0.5,0.75,0.25,0.25,1.25,0.5,0.75,0.5,0.75,0.25,0.0
0.5,0.5,0.75,0.25,0.25,0.25,0.5,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.5,0.25,0.0,0.25,0.0
0.5,1.5,2.25,1.25,0.5,0.25,1.25,0.25,0.5,0.0,1.25,0.5,1.0,2.25,1.25,1.0,2.0,1.25,0.5,0.5
7.5,0.25,0.75,0.0,1.5,0.25,1.5,2.0,0.0,0.0,1.75,2.0,0.75,1.25,1.75,1.0,1.0,1.5,1.25,0.0
0.75,0.5,0.25,0.25,0.5,0.0,0.25,0.5,0.5,0.0,0.5,1.25,0.0,0.0,1.0,0.25,1.5,0.75,0.5,0.75
1.25,0.5,0.25,0.25,1.25,0.75,0.5,0.5,0.0,0.25,0.5,1.0,0.25,1.25,0.75,0.0,1.25,0.0,0.5,0.0
2.75,6.75,2.75,3.25,2.75,2.25,3.75,1.25,1.5,5.25,2.5,0.75,3.0,3.5,4.0,3.25,3.75,2.5,5.25,2.25
1.5,4.5,4.0,5.25,3.0,7.0,2.0,3.75,5.25,3.5,2.75,2.25,3.5,5.0,3.0,3.25,4.0,2.25,2.25,4.5
0.25,0.25,1.75,0.5,0.0,1.75,1.0,2.5,1.25,1.0,0.75,1.75,1.0,0.0,0.25,1.25,0.5,0.25,0.25,1.75
0.25,0.0,0.5,0.75,0.5,0.25,0.0,2.5,1.0,0.0,0.75,1.0,1.0,0.5,0.75,0.5,0.5,1.5,1.0,0.25
0.5,0.25,1.5,4.0,0.75,2.25,0.25,5.0,3.75,5.0,1.0,0.75,1.75,0.25,0.25,2.75,2.0,0.25,0.0,4.5
0.25,0.75,1.0,1.75,0.75,0.5,0.5,0.75,0.5,1.0,1.0,0.5,2.0,0.5,1.5,1.0,1.0,0.5,0.5,1.0
0.0,0.0,0.75,0.25,0.25,0.0,0.0,0.5,0.5,0.25,0.5,0.25,0.75,0.25,0.0,0.0,0.25,0.0,0.0,0.5
0.0,0.75,0.0,1.25,0.25,1.25,0.5,0.25,0.5,0.5,1.5,1.0,0.5,1.5,1.0,0.75,1.5,0.25,0.5,0.75
1.5,0.0,3.75,5.5,1.0,4.5,0.5,7.0,8.75,5.5,3.5,3.5,0.75,5.75,1.0,6.5,2.5,0.25,0.0,9.5
0.5,1.75,0.5,1.25,3.0,1.75,0.75,0.75,0.75,1.0,0.5,1.0,1.0,1.5,3.75,1.25,1.25,1.25,0.75,1.5
0.0,0.25,0.0,0.5,0.25,0.25,1.0,0.0,0.25,0.5,0.0,0.0,0.0,0.75,0.0,0.75,0.25,0.0,0.0,0.5
0.0,0.5,0.5,0.5,0.0,0.75,0.0,0.25,0.5,0.5,0.5,0.0,0.5,0.25,0.75,0.25,0.0,0.25,0.25,0.0
0.0,0.25,0.5,0.25,0.75,0.75,0.0,0.75,1.5,0.5,0.75,0.0,0.5,0.5,0.5,0.25,0.0,0.25,0.25,0.25
0.5,0.5,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0
0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
0.0,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.0,0.25,0.25,0.5,0.0,1.0,0.25,0.25,0.5,0.5,0.5,0.25
0.25,0.25,1.25,0.75,0.5,0.25,0.25,1.5,3.0,1.75,1.5,0.75,0.5,1.75,0.25,1.75,0.75,0.25,0.5,1.0
0.75,1.5,1.0,0.25,0.75,0.75,1.0,0.0,0.5,0.5,0.25,0.5,0.75,1.5,1.5,1.0,1.5,1.25,0.75,0.75
0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,1.0,0.5,0.25,0.25
0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.25
0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.75,0.75,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.25
0.0,1.0,1.5,0.25,0.75,0.25,0.0,0.25,1.0,0.0,0.5,0.25,0.25,0.25,0.5,1.0,0.75,0.25,1.25,0.75
0.0,0.5,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.25,1.25,0.0
0.0,0.5,0.0,0.25,0.5,0.5,0.5,1.0,0.0,0.5,0.75,1.25,0.5,1.0,1.25,2.0,0.25,0.25,0.5,1.25
0.25,1.0,0.0,0.25,0.5,0.5,1.0,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.25,0.25,1.0
0.0,0.25,0.0,0.75,0.0,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.25,0.25
0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.5,0.25,0.75,0.75,0.75,0.5,0.25,0.25,0.5,0.0,0.5,0.0,0.25
0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0
0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.5,0.0
0.5,0.0,0.5,0.25,0.25,0.25,0.75,0.5,0.75,0.25,0.5,1.25,0.5,0.5,0.75,0.5,0.25,0.5,0.25,0.75
0.0,0.25,0.5,0.25,0.5,0.5,0.75,0.25,0.75,0.5,0.25,1.0,1.25,0.5,0.5,0.5,0.5,0.75,0.5,0.5
0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,0.0
0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.75,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25
0.0,0.0,0.25,0.5,0.0,0.75,0.5,0.0,0.25,0.0,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.75,0.0
0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.5,0.25,0.0
0.0,0.25,0.25,0.75,0.25,0.5,0.0,0.5,0.5,0.25,0.5,0.0,0.25,0.5,0.5,0.5,0.0,0.5,0.75,0.25
0.25,0.25,1.75,0.5,0.5,0.75,0.0,0.0,0.75,0.5,0.5,0.0,0.5,0.5,0.75,0.75,0.25,1.0,0.0,0.0
0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.5,0.25,0.25,0.25,0.0,0.5
0.0,1.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.25,0.75,0.25,0.0,0.0,0.75,0.0,0.0
0.0,0.0,0.5,0.75,0.25,0.25,0.25,0.25,0.25,0.0,0.5,0.25,0.0,0.0,0.75,0.0,0.5,0.75,0.5,0.25
0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5
